etime_bin,status,n_jobs,cum_jobs
"2018-10-10 16:00:00",COMPLETED,6,6
"2018-10-10 17:00:00",COMPLETED,1,7
"2018-10-10 18:00:00",COMPLETED,3,10
"2018-10-10 19:00:00",COMPLETED,16,26
"2018-10-10 20:00:00",COMPLETED,9,35
"2018-10-10 21:00:00",COMPLETED,7,42
"2018-10-11 00:00:00",COMPLETED,3,45
"2018-10-11 01:00:00",COMPLETED,1,46
"2018-10-11 10:00:00",COMPLETED,3,49
"2018-10-11 11:00:00",COMPLETED,8,57
"2018-10-11 12:00:00",COMPLETED,7,64
"2018-10-11 14:00:00",COMPLETED,9,73
"2018-10-11 15:00:00",COMPLETED,1,74
"2018-10-11 18:00:00",COMPLETED,3,77
"2018-10-11 19:00:00",COMPLETED,3,80
"2018-10-12 06:00:00",COMPLETED,3,83
"2018-10-12 10:00:00",COMPLETED,7,90
