jobid,jobname,stime,etime,runtime,stime_bin,etime_bin,mem_mb,n_cores,hostname,status
4731024,smk.delly_p,"2018-09-30 10:09:55","2018-09-30 12:56:56",10021,"2018-09-30 10:00:00","2018-09-30 12:00:00",847,2,tcn1558,COMPLETED
4731025,smk.gridss_p,"2018-09-30 10:19:25","2018-10-01 15:42:28",105783,"2018-09-30 10:00:00","2018-10-01 15:00:00",51365,24,tcn1491,COMPLETED
4731026,smk.gridss_p,"2018-09-30 10:34:57","2018-10-01 15:48:13",105196,"2018-09-30 10:00:00","2018-10-01 15:00:00",51493,24,tcn1480,COMPLETED
4731027,smk.delly_p,"2018-09-30 10:43:29","2018-10-01 10:10:23",84414,"2018-09-30 10:00:00","2018-10-01 10:00:00",712,2,tcn1541,COMPLETED
4731028,smk.delly_p,"2018-09-30 10:49:30","2018-09-30 13:36:24",10014,"2018-09-30 10:00:00","2018-09-30 13:00:00",768,2,tcn1182,COMPLETED
4731029,smk.lumpy_p,"2018-09-30 10:56:02","2018-10-01 00:07:28",47486,"2018-09-30 10:00:00","2018-10-01 00:00:00",25922,1,tcn1540,COMPLETED
4731030,smk.delly_p,"2018-09-30 11:13:39","2018-10-01 10:27:45",83646,"2018-09-30 11:00:00","2018-10-01 10:00:00",763,2,tcn1512,COMPLETED
4731031,smk.delly_p,"2018-09-30 11:14:40","2018-09-30 13:29:00",8060,"2018-09-30 11:00:00","2018-09-30 13:00:00",799,2,tcn1579,COMPLETED
4731032,smk.gridss_p,"2018-09-30 11:30:18","2018-10-01 16:34:46",104668,"2018-09-30 11:00:00","2018-10-01 16:00:00",51173,24,tcn1500,COMPLETED
4731033,smk.delly_p,"2018-09-30 13:37:12","2018-09-30 16:22:35",9923,"2018-09-30 13:00:00","2018-09-30 16:00:00",806,2,tcn1579,COMPLETED
4731034,smk.delly_p,"2018-09-30 19:12:47","2018-09-30 21:58:13",9926,"2018-09-30 19:00:00","2018-09-30 21:00:00",794,2,tcn1579,COMPLETED
4731035,smk.gridss_p,"2018-09-30 21:58:28","2018-10-02 02:40:26",103318,"2018-09-30 21:00:00","2018-10-02 02:00:00",50853,24,tcn1276,COMPLETED
