jobid,jobname,subtime,stime,etime,qtime,runtime,stime_bin,etime_bin,mem_mb,n_cores,hostname,status
4786022,smk.lumpy_s,"2018-10-10 15:45:47","2018-10-10 15:45:49","2018-10-10 16:13:56",2,1687,"2018-10-10 15:00:00","2018-10-10 16:00:00",8032,1,tcn881,COMPLETED
4786023,smk.delly_s,"2018-10-10 15:45:49","2018-10-10 15:45:58","2018-10-10 19:12:21",9,12383,"2018-10-10 15:00:00","2018-10-10 19:00:00",735,1,tcn707,COMPLETED
4786024,smk.delly_s,"2018-10-10 15:45:51","2018-10-10 15:46:00","2018-10-10 20:35:49",9,17389,"2018-10-10 15:00:00","2018-10-10 20:00:00",735,1,tcn895,COMPLETED
4786025,smk.manta_s,"2018-10-10 15:45:52","2018-10-10 15:46:00","2018-10-10 20:07:48",8,15708,"2018-10-10 15:00:00","2018-10-10 20:00:00",6807,24,tcn1182,COMPLETED
4786026,smk.delly_s,"2018-10-10 15:45:52","2018-10-10 15:46:00","2018-10-10 21:12:22",8,19582,"2018-10-10 15:00:00","2018-10-10 21:00:00",735,1,tcn1420,COMPLETED
4786027,smk.gridss_s,"2018-10-10 15:45:54","2018-10-10 15:46:00","2018-10-11 00:37:29",6,31889,"2018-10-10 15:00:00","2018-10-11 00:00:00",53682,24,tcn1033,COMPLETED
4786028,smk.manta_s,"2018-10-10 15:45:55","2018-10-10 15:46:00","2018-10-10 20:06:46",5,15646,"2018-10-10 15:00:00","2018-10-10 20:00:00",6783,24,tcn1042,COMPLETED
4786029,smk.delly_s,"2018-10-10 15:45:55","2018-10-10 15:46:00","2018-10-10 20:34:15",5,17295,"2018-10-10 15:00:00","2018-10-10 20:00:00",735,1,tcn709,COMPLETED
4786030,smk.lumpy_s,"2018-10-10 15:45:56","2018-10-10 15:46:00","2018-10-10 16:13:39",4,1659,"2018-10-10 15:00:00","2018-10-10 16:00:00",8063,1,tcn710,COMPLETED
4786031,smk.delly_s,"2018-10-10 15:45:56","2018-10-10 15:46:00","2018-10-10 18:39:42",4,10422,"2018-10-10 15:00:00","2018-10-10 18:00:00",1176,1,tcn711,COMPLETED
4786032,smk.delly_s,"2018-10-10 15:45:57","2018-10-10 15:46:00","2018-10-10 18:38:04",3,10324,"2018-10-10 15:00:00","2018-10-10 18:00:00",1176,1,tcn920,COMPLETED
4786033,smk.delly_s,"2018-10-10 15:45:58","2018-10-10 15:46:00","2018-10-10 19:01:48",2,11748,"2018-10-10 15:00:00","2018-10-10 19:00:00",735,1,tcn921,COMPLETED
4786034,smk.lumpy_s,"2018-10-10 15:45:58","2018-10-10 15:46:00","2018-10-10 16:13:52",2,1672,"2018-10-10 15:00:00","2018-10-10 16:00:00",8050,1,tcn922,COMPLETED
4786035,smk.gridss_s,"2018-10-10 15:45:59","2018-10-10 15:57:23","2018-10-11 00:45:12",684,31669,"2018-10-10 15:00:00","2018-10-11 00:00:00",53682,24,tcn1106,COMPLETED
4786036,smk.delly_s,"2018-10-10 15:45:59","2018-10-10 15:57:28","2018-10-10 19:13:36",689,11768,"2018-10-10 15:00:00","2018-10-10 19:00:00",735,1,tcn1113,COMPLETED
4786037,smk.manta_s,"2018-10-10 15:46:00","2018-10-10 15:59:56","2018-10-10 20:22:07",836,15731,"2018-10-10 15:00:00","2018-10-10 20:00:00",6827,24,tcn740,COMPLETED
4786038,smk.delly_s,"2018-10-10 15:46:01","2018-10-10 16:00:23","2018-10-10 21:12:22",862,18719,"2018-10-10 16:00:00","2018-10-10 21:00:00",735,1,tcn714,COMPLETED
4786039,smk.delly_s,"2018-10-10 15:46:01","2018-10-10 16:00:32","2018-10-10 18:55:27",871,10495,"2018-10-10 16:00:00","2018-10-10 18:00:00",1176,1,tcn1364,COMPLETED
4786040,smk.delly_s,"2018-10-10 15:46:02","2018-10-10 16:00:32","2018-10-10 19:13:36",870,11584,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn1365,COMPLETED
4786041,smk.gridss_s,"2018-10-10 15:46:02","2018-10-10 16:00:32","2018-10-11 00:50:44",870,31812,"2018-10-10 16:00:00","2018-10-11 00:00:00",53682,24,tcn1366,COMPLETED
4786042,smk.delly_s,"2018-10-10 15:46:03","2018-10-10 16:00:32","2018-10-10 19:13:36",869,11584,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn1367,COMPLETED
4786043,smk.delly_s,"2018-10-10 15:46:04","2018-10-10 16:07:50","2018-10-10 20:47:23",1306,16773,"2018-10-10 16:00:00","2018-10-10 20:00:00",735,1,tcn778,COMPLETED
4786044,smk.delly_s,"2018-10-10 15:46:04","2018-10-10 16:07:50","2018-10-10 19:04:40",1306,10610,"2018-10-10 16:00:00","2018-10-10 19:00:00",1176,1,tcn853,COMPLETED
4786045,smk.delly_s,"2018-10-10 15:46:05","2018-10-10 16:14:04","2018-10-10 21:16:39",1679,18155,"2018-10-10 16:00:00","2018-10-10 21:00:00",735,1,tcn881,COMPLETED
4786046,smk.gridss_s,"2018-10-10 15:46:06","2018-10-10 16:14:06","2018-10-11 01:03:30",1680,31764,"2018-10-10 16:00:00","2018-10-11 01:00:00",53682,24,tcn922,COMPLETED
4786047,smk.delly_s,"2018-10-10 15:46:06","2018-10-10 16:14:55","2018-10-10 19:11:49",1729,10614,"2018-10-10 16:00:00","2018-10-10 19:00:00",1176,1,tcn1583,COMPLETED
4786048,smk.lumpy_s,"2018-10-10 15:46:07","2018-10-10 16:15:55","2018-10-10 16:43:51",1788,1676,"2018-10-10 16:00:00","2018-10-10 16:00:00",8044,1,tcn1593,COMPLETED
4786049,smk.lumpy_s,"2018-10-10 15:46:08","2018-10-10 16:15:55","2018-10-10 16:43:46",1787,1671,"2018-10-10 16:00:00","2018-10-10 16:00:00",8051,1,tcn1422,COMPLETED
4786050,smk.lumpy_s,"2018-10-10 15:46:09","2018-10-10 16:16:54","2018-10-10 16:44:30",1845,1656,"2018-10-10 16:00:00","2018-10-10 16:00:00",8032,1,tcn1584,COMPLETED
4786051,smk.delly_s,"2018-10-10 15:46:10","2018-10-10 16:16:54","2018-10-10 19:32:40",1844,11746,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn1234,COMPLETED
4786052,smk.delly_s,"2018-10-10 15:46:11","2018-10-10 16:17:13","2018-10-10 21:18:00",1862,18047,"2018-10-10 16:00:00","2018-10-10 21:00:00",735,1,tcn710,COMPLETED
4786053,smk.delly_s,"2018-10-10 15:46:12","2018-10-10 16:17:54","2018-10-10 21:18:00",1902,18006,"2018-10-10 16:00:00","2018-10-10 21:00:00",735,1,tcn1346,COMPLETED
4786054,smk.delly_s,"2018-10-10 15:46:13","2018-10-10 16:17:54","2018-10-10 21:18:00",1901,18006,"2018-10-10 16:00:00","2018-10-10 21:00:00",735,1,tcn1411,COMPLETED
